Date_Time                    ,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,TC_Counter1,TC_Counter2,TC_Counter3,TC_Counter4,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),Charge_Time(s),Discharge_Time(s),V_Max_On_Cycle(V),Coulombic_Efficiency(%),mAh/g,Aux_Temperature_1(C),Aux_dT/dt_1(C),Aux_Temperature_2(C),Aux_dT/dt_2(C),Aux_Temperature_3(C),Aux_dT/dt_3(C)
2021/12/27 12:39:59,1639548.4434,300.0038,84,30,3,1,6,0,0,4.188119,0,14.89179,15.56544,57.61007,52.94414,6381.877,850.443,,104.52,338.37913,29.80652,0.02696753,29.72983,0.01525581,29.83183,0.01305282,
2021/12/27 15:48:30,1650859.7859,300.0036,85,30,4,1,6,0,0,4.188068,0,17.2117,17.90811,66.67533,60.49841,6378.472,849.3925,,104.05,389.306739,29.7826,-0.07000446,29.77177,-0.01026392,29.88086,0.02726376,
2021/12/27 18:57:00,1662169.4134,300.0038,86,30,5,1,6,0,0,4.187891,0,19.53203,20.25118,75.74187,68.05276,6374.958,851.1399,,103.68,440.243043,30.01194,0.002200603,29.70508,-0.07173955,29.81415,-0.0563103,
2021/12/27 22:05:39,1673489.0295,300.004,87,30,6,1,6,0,0,4.188087,0,21.85197,22.59288,84.80733,75.60283,6386.507,849.4402,,103.39,491.149565,29.91483,-0.03890038,30.19365,0.03307581,30.23227,0.04853308,
2021/12/28 01:14:10,1684799.6888,300.0046,88,30,7,1,6,0,0,4.188152,0,24.17146,24.93474,93.87114,83.15365,6377.35,849.5549,,103.16,542.059565,30.00492,-0.05924642,30.12814,0.02963662,30.07495,0.007589459,
2021/12/28 04:22:37,1696106.0871,300.0039,89,30,8,1,6,0,0,4.1878,0,26.49111,27.27678,102.9353,90.70456,6371.077,851.0153,,102.97,592.973478,29.98181,-0.06133556,30.28191,-0.001354218,30.26411,0.01629293,
2021/12/28 07:31:13,1707422.3312,300.0031,90,30,9,1,6,0,0,4.188044,0,28.81094,29.61879,112.0001,98.25496,6381.913,849.6992,,102.8,643.886739,29.80888,0.06110907,29.67805,0.04580021,29.66699,0.001649857,
2021/12/28 19:44:36,1751425.8643,300.0016,91,30,0,1,6,1,0,4.187937,0,5.239886,5.30795,20.2832,18.36467,14830.26,7629.029,,101.3,115.390217,29.72888,-0.05241215,29.49189,-0.0626719,29.65744,-0.05606353,
2021/12/28 22:55:06,1762855.3007,300.0028,92,30,1,1,6,1,0,4.187804,0,7.597868,7.689131,29.48509,26.02453,6484.005,861.4764,,101.2,167.155022,30.18265,-0.04881442,30.00468,0.03595591,29.98673,0.01831591,
2021/12/29 02:03:46,1774176.0276,300.0039,93,30,2,1,6,1,0,4.187956,0,9.918286,10.03165,38.55275,33.57232,6386.802,849.2095,,101.14,218.079348,30.03544,-0.01018703,30.25098,0.01268506,30.20491,-0.01157343,
2021/12/29 05:12:31,1785501.0244,300.0045,94,30,3,1,6,1,0,4.187902,0,12.24075,12.37614,47.62736,41.12498,6391.899,848.4868,,101.11,269.046522,29.98796,0.007393956,30.0668,-0.0430268,30.13361,-0.02760828,
2021/12/29 08:21:11,1796820.8511,300.0022,95,30,4,1,6,1,0,4.187923,0,14.56041,14.71908,56.69131,48.67394,6384.608,850.3099,,101.09,319.98,30.02333,0.01526535,29.72357,-0.01930773,29.7196,-0.0546366,
2021/12/29 11:29:47,1808136.8255,300.0021,96,30,5,1,6,1,0,4.188011,0,16.87863,17.06025,65.74969,56.21721,6382.286,849.1275,,101.08,370.875,29.81106,0.0406611,29.64493,-0.05929172,29.76811,0.02040148,
2021/12/29 14:38:32,1819461.3604,300.0031,97,30,6,1,6,1,0,4.187758,0,19.19925,19.40309,74.81652,63.76342,6390.433,849.67,,101.06,421.806304,30.3389,0.088557,30.16881,0.04742146,30.08034,0.00772953,
2021/12/29 17:47:16,1830785.2559,300.0032,98,30,7,1,6,1,0,4.187736,0,21.51973,21.74611,83.88277,71.30996,6390.67,848.5671,,101.05,472.741522,29.84192,-0.08378744,29.67458,-0.03144681,29.7907,0.006074309,
2021/12/29 20:56:08,1842117.3744,300.0028,99,30,8,1,6,1,0,4.187907,0,23.84059,24.08984,92.95047,78.85758,6398.445,848.8134,,101.05,523.692174,30.04793,0.0273639,30.08003,0.001376271,30.16802,0.03447056,
2021/12/30 00:04:09,1853399.0057,300.0043,100,30,9,1,6,1,0,4.188041,0,26.14317,26.41507,101.9527,86.35812,6348.996,846.9213,,101.04,574.240652,29.81769,-0.08488894,30.09636,-0.01876891,30.12787,0.009910464,
2021/12/30 12:17:11,1897380.4875,300.0027,101,30,0,1,6,2,0,4.187943,0,5.230359,5.299307,20.24946,18.32841,14843.08,7602.211,,101.32,115.202326,30.00185,-0.05239785,29.79956,-0.01088619,30.01592,0.04014373,
2021/12/30 15:25:55,1908704.7735,300.003,102,30,1,1,6,2,0,4.18785,0,7.549313,7.640483,29.31153,25.86793,6388.902,850.5445,,101.21,166.097457,30.02997,-0.05021095,29.70904,-0.04938662,29.81104,-0.01408517,
